2480,21314,1
2198,16545,1
17017,118752,1
6307,105254,0
11824,414,1
27279,1502,0
7855,5507,0
11870,2094,0
70610,36272,0
1066,16610,1
1810,2841,0
57,60288,0
5355,677,1
3803,14122,0
101942,3510,1
3148,5983,1
1092,14094,0
6723,1118,0
3244,5395,1
21143,1211,0
11859,70055,0
99793,2376,1
1274,3190,0
12806,1349,0
2643,784,1
21255,15997,0
3884,19182,1
71973,12845,1
29527,3991,1
130668,55005,1
23005,41703,1
540,5566,0
18457,549,0
1004,56395,0
3834,17007,1
18336,68183,1
35568,321,1
57155,549,1
61226,50334,0
2998,1345,1
61593,6816,0
1911,48973,1
10132,16212,0
3818,1784,0
56854,5613,1
1052,1348,0
108260,1003,1
30311,17391,0
1302,27281,1
18079,1440,1
66485,115657,0
1842,2224,1
11682,31479,0
110843,37372,1
1420,68272,1
32669,1946,0
7406,44023,1
36538,15626,1
6285,11748,1
45622,2253,1
30638,63691,0
30914,9846,0
11839,59144,0
68346,67594,0
13676,82017,0
361,58764,1
19070,22373,1
68496,27797,0
53782,12155,0
68214,16210,0
167,8443,0
17011,113162,0
38488,433,0
67043,12584,1
22445,5992,0
50413,1972,1
36166,27216,0
3745,9381,0
3709,6969,0
9753,1636,0
17374,2506,0
11854,19141,0
5290,2405,1
103342,409,1
33979,48768,0
36331,40317,0
27173,49810,1
3109,689,0
35704,11950,1
21194,29902,1
56167,118013,1
1482,961,0
57521,17350,1
1488,53055,0
9829,12641,1
13506,3210,0
64411,1466,0
32263,11086,1
2980,113773,0
5584,11939,1
28984,69980,1
16739,842,0
27940,10757,1
49436,6055,0
7737,831,1
44116,6894,0
6301,147,1
115494,12504,1
14977,1754,0
11916,12142,1
3287,57149,1
37986,58731,0
1493,17507,1
32246,552,1
98778,66669,1
76252,97440,1
53706,28711,0
27271,1810,1
10923,108223,0
5,17931,0
57708,1396,0
18538,37293,1
2285,24130,1
16843,39511,0
57171,59134,1
57047,28274,1
11849,17026,0
1027,11858,0
2292,57472,0
7404,3280,1
44681,33990,0
7601,60746,0
11409,29911,1
364,11714,1
1121,11865,0
49426,1486,1
14228,8835,0
23259,5291,1
221,3851,0
913,33939,0
40830,11628,1
693,14632,0
129860,4640,0
63632,1494,0
10766,10862,0
52474,79271,0
24598,11597,0
8749,16922,0
47569,79380,0
11694,55861,1
49166,111577,1
11797,8031,1
23518,97138,1
9663,27728,0
127097,11862,1
27274,20695,1
1288,5484,1
3178,816,1
3162,18,0
1945,91767,0
475,12127,0
54713,22655,0
5151,7078,1
400,95614,0
30897,7873,0
1348,116451,1
2050,12041,0
17822,49379,0
4485,1782,0
48034,26533,0
25,98937,0
41396,55856,1
2033,7279,1
68376,4775,1
538,687,0
45038,71431,0
44760,7,0
2039,3828,0
28488,12878,0
20,66372,0
12134,8544,0
21225,56023,0
3748,3697,0
31124,39399,1
29873,25075,1
28536,9282,1
97491,11701,1
1148,833,0
43424,119951,0
95614,94825,1
2301,114529,1
52752,25572,0
25587,131,0
9954,11876,1
5757,6612,0
23717,115580,0
3834,17202,1
2285,1119,0
10862,1691,1
3202,27284,1
2133,1211,1
2031,532,0
15854,4185,1
17373,6645,0
7588,1512,1
966,89637,0
111211,120879,1
2074,42722,1
30708,24307,1
65863,82999,0
7529,5771,0
12713,3958,0
6945,4542,1
100817,9663,1
1213,19064,0
23,18101,1
4244,167,0
43361,69024,1
15686,14544,1
58448,2300,0
103985,7033,1
14544,2925,0
128664,125373,0
10428,11735,1
14883,106603,0
1754,24640,0
61166,125427,0
118404,95594,1
41,15813,1
10123,5882,1
4785,92799,0
3013,23532,1
677,3438,0
117661,66481,1
102728,37925,1
14487,1832,1
3220,5592,1
17519,42104,1
33959,122970,0
94484,58752,0
472,23092,0
21621,9310,1
24501,5522,0
23469,7130,1
19568,4188,0
14224,1960,1
10431,1394,0
5992,7336,0
5717,6721,0
106,50008,1
93889,85002,0
6349,29148,0
47842,57156,1
1787,12220,1
101027,18146,0
11862,27027,1
10902,7737,1
4071,481,1
3679,1650,0
3921,3905,0
51902,18055,0
100372,3904,0
2418,1691,1
3942,382,1
13230,1682,1
1287,3236,1
2282,9310,0
56206,23251,1
21966,2287,0
102954,95280,0
118988,117279,0
3201,3654,0
9583,11851,0
6534,14665,1
30395,3871,1
18702,4167,1
44282,17373,0
3371,548,1
433,3144,1
2744,12184,1
